"country","year","value","published","note","type"
"Central African Republic",2018,23300,"2019 to 2023",NA,"unpaved"
"Chad",1999,267,"2006 to 2007",NA,"paved"
"Chad",1999,33400,"2006 to 2007",NA,"total"
"Chad",1999,33133,"2006 to 2007",NA,"unpaved"
"Chad",2002,267,"2008 to 2010",NA,"paved"
"Chad",2002,33400,"2008 to 2010",NA,"total"
"Chad",2002,33133,"2008 to 2010",NA,"unpaved"
"Chad",2006,40000,"2011",NA,"total"
"Chad",2011,40000,"2012 to 2018",NA,"total"
"Chad",2018,40000,"2019 to 2023",NA,"total"
"Chile",2001,16080,"2006 to 2007","including 407 km of expressways","paved"
"Chile",2001,16080,"2006 to 2007","includes 407 km of expressways","paved"
"Chile",2001,79605,"2006 to 2007",NA,"total"
"Chile",2001,63525,"2006 to 2007",NA,"unpaved"
"Chile",2004,16745,"2008 to 2011","includes 2414 km of expressways","paved"
"Chile",2004,80505,"2008 to 2011",NA,"total"
"Chile",2004,63760,"2008 to 2011",NA,"unpaved"
"Chile",2010,18119,"2012 to 2018","includes 2387 km of expressways","paved"
"Chile",2010,18119,"2012 to 2018",NA,"paved"
"Chile",2010,77764,"2012 to 2018",NA,"total"
"Chile",2010,59645,"2012 to 2018",NA,"unpaved"
"Chile",2016,77801,"2019 to 2023",NA,"total"
"China",2003,1447682,"2006","with at least 29745 km of expressways","paved"
"China",2003,1809829,"2006",NA,"total"
"China",2003,362147,"2006",NA,"unpaved"
"China",2004,1515797,"2007","with at least 34288 km of expressways","paved"
"China",2004,1870661,"2007",NA,"total"
"China",2004,354864,"2007",NA,"unpaved"
"China",2005,1575571,"2008 to 2009","includes 41005 km of expressways","paved"
"China",2005,1930544,"2008 to 2009",NA,"total"
"China",2005,354973,"2008 to 2009",NA,"unpaved"
"China",2007,3583715,"2010","includes 53913 km of expressways","total"
"China",2009,3056300,"2011","includes 65000 km of expressways","paved"
"China",2009,3860800,"2011",NA,"total"
"China",2009,804500,"2011",NA,"unpaved"
"China",2011,3453890,"2012 to 2016","includes 84946 km of expressways","paved"
"China",2011,4106387,"2012 to 2016",NA,"total"
"China",2011,652497,"2012 to 2016",NA,"unpaved"
"China",2015,4046300,"2017 to 2018","includes 123500 km of expressways","paved"
"China",2015,4046300,"2017 to 2018",NA,"paved"
"China",2015,4577300,"2017 to 2018",NA,"total"
"China",2015,531000,"2017 to 2018",NA,"unpaved"
"China",2017,4338600,"2019 to 2021",NA,"paved"
"China",2017,4960600,"2019 to 2021",NA,"total"
"China",2017,622000,"2019 to 2023",NA,"unpaved"
"China",2020,4578000,"2022 to 2023",NA,"paved"
"China",2020,5200000,"2022 to 2023",NA,"total"
"Christmas Island",2006,32,"2006 to 2007",NA,"paved"
"Christmas Island",2006,142,"2006 to 2007",NA,"total"
"Christmas Island",2006,110,"2006 to 2007",NA,"unpaved"
"Christmas Island",2007,30,"2008 to 2012",NA,"paved"
"Christmas Island",2007,140,"2008 to 2012",NA,"total"
"Christmas Island",2007,110,"2008 to 2012",NA,"unpaved"
"Christmas Island",2011,30,"2013 to 2020",NA,"paved"
"Christmas Island",2011,32,"2021 to 2023",NA,"paved"
"Christmas Island",2011,140,"2013 to 2020",NA,"total"
"Christmas Island",2011,142,"2021 to 2023",NA,"total"
"Christmas Island",2011,110,"2013 to 2023",NA,"unpaved"
"Cocos (Keeling) Islands",2006,10,"2006 to 2009",NA,"paved"
"Cocos (Keeling) Islands",2006,22,"2006 to 2009",NA,"total"
